De O
start- O

De O
Europese B-ORG
Unie O
verwerpt O
de O
Duitse B-MISC
oproep O
om O
het O
Britse B-MISC
lam O
te O
boycotten O
. O

door O
Peter B-PER
Blackburn I-PER

Brussel B-LOC
1996-08-22 O

De O
Europese B-ORG
Commissie I-ORG
heeft O
donderdag O
verklaard O
dat O
ze O
het O
niet O
eens O
is O
met O
het O
Duitse B-MISC
advies O
aan O
consumenten O
om O
Britse B-MISC
lammen O
te O
vermijden O
totdat O
wetenschappers O
bepalen O
of O
de O
ziekte O
van O
gekke O
koeien O
kan O
worden O
overgedragen O
aan O
schapen O
. O

De O
Duitse B-LOC
vertegenwoordiger O
bij O
de O
Europese B-ORG
Commissie O
voor O
diergeneeskunde O
Werner B-PER
Zwingmann I-PER
zei O
woensdag O
dat O
consumenten O
schapenvlees O
moeten O
kopen O
uit O
andere O
landen O
dan O
Groot-Brittannië B-LOC
totdat O
het O
wetenschappelijke O
advies O
duidelijker O
is O
. O

" O
We O
steunen O
geen O
enkele O
dergelijke O
aanbeveling O
omdat O
we O
er O
geen O
redenen O
voor O
zien O
" O
, O
zei O
de O
woordvoerder O
van O
de O
Commissie B-ORG
, O
Nikolaus B-PER
van I-PER
der I-PER
Pas I-PER
, O
tijdens O
een O
persconferentie O
. O

Hij O
zei O
dat O
verdere O
wetenschappelijke O
studie O
nodig O
was O
en O
als O
het O
bleek O
dat O
actie O
nodig O
was O
, O
zou O
de O
Europese B-ORG
Unie I-ORG
het O
moeten O
doen O
. O

Hij O
zei O
dat O
een O
voorstel O
van O
EU-landbouwcommissaris B-ORG
Franz B-PER
Fischler I-PER
vorige O
maand O
om O
schapenbrein O
, O
milt O
en O
wervelkolom O
uit O
de O
voedselketens O
van O
mens O
en O
dier O
te O
verbieden O
een O
zeer O
specifieke O
en O
voorzorgsmaatregel O
was O
om O
de O
menselijke O
gezondheid O
te O
beschermen O
. O

Fischler B-PER
stelde O
EU-brede B-MISC
maatregelen O
voor O
na O
berichten O
uit O
Groot-Brittannië B-LOC
en O
Frankrijk B-LOC
dat O
schapen O
onder O
laboratoriumomstandigheden O
bovine B-MISC
spongiforme I-MISC
encefalopathie I-MISC
( O
BSE B-MISC
) O
kunnen O
krijgen O
. O

Maar O
Fischler B-PER
stemde O
ermee O
akkoord O
zijn O
voorstel O
te O
herzien O
nadat O
het O
permanente O
