Afgaande O
op O
eerdere O
berichten O
was O
dit O
vroeger O
een O
goede O
plek, B-TARGET
maar O
niet O
langer. O

Wij, O
wij O
waren O
met O
zijn O
vieren, O
kwamen O
om O
twaalf O
uur O
aan O
- O
de O
plaats O
was O
leeg O
- O
en O
het O
personeel B-TARGET
deed O
alsof O
we O
ons O
aan O
hen O
opdrongen O
en O
ze O
waren O
erg O
onbeleefd. O

Ze O
brachten O
ons O
nooit O
gratis O
noedels, O
negeerden O
herhaalde O
verzoeken O
om O
suiker, O
en O
gooiden O
onze O
gerechten O
op O
tafel. O

Het O
eten B-TARGET
was O
waardeloos O
- O
te O
zoet O
of O
te O
zout O
en O
de O
porties B-TARGET
klein. O

Na O
dat O
alles, O
klaagden O
ze O
tegen O
mij O
over O
de O
kleine O
tip. O

Vermijd O
deze O
plek! B-TARGET

Ik O
heb O
vaak O
gegeten O
bij O
Saul, O
het O
eten B-TARGET
is O
altijd O
consequent, O
schandalig O
goed. O

Saul B-TARGET
is O
het O
beste O
restaurant O
op O
Smith O
Street O
en O
in O
Brooklyn. O

De O
eendenconfit B-TARGET
is O
altijd O
geweldig O
en O
de O
foie B-TARGET
gras I-TARGET
terrine I-TARGET
met I-TARGET
vijgen I-TARGET
was O
uit O
deze O
wereld. O

De O
wijnkaart B-TARGET
is O
interessant O
en O
heeft O
veel O
goede O
waarden. O

Voor O
de O
prijs, O
kun O
je O
niet O
zo O
goed O
eten O
in O
Manhattan. O

Ik O
was O
erg O
teleurgesteld O
over O
dit O
restaurant. B-TARGET

Ik O
vroeg O
een O
karretjebediende B-TARGET
om O
een O
lotusblad O
verpakte O
rijst O
en O
ze O
antwoordde O
rijst O
terug O
en O
liep O
gewoon O
weg. O

Ik O
moest O
het O
haar O
drie O
keer O
vragen O
voordat O
ze O
eindelijk O
terugkwam O
met O
het O
gerecht O
waar O
ik O
om O
vroeg. O

Eten B-TARGET
was O
oké, O
niets O
geweldigs. O

Chow B-TARGET
plezier I-TARGET
was O
droog; O
varkensvlees B-TARGET
shu I-TARGET
mai I-TARGET
was O
meer O
dan O
gewoonlijk O
vettig O
en O
moest O
een O
tafel O
delen O
met O
luide O
en O
onbeleefde O
familie. O

We O
gaan O
nooit O
meer O
terug O
naar O
deze O
plek. B-TARGET

Ging O
op O
een O
3 O
dagen O
oester O
binge, O
met O
Fish B-TARGET
brengen O
van O
de O
sluiting, O
en O
ik O
ben O
zo O
blij O
dat O
dit O
was O
de O
plaats O
waar O
het O
O O
reis O
eindigde, O
want O
het O
was O
zo O
geweldig! O

Service B-TARGET
was O
devine, O
oesters B-TARGET
waar O
een O
sensuele O
als O
ze O
komen, O
en O
de O
prijs O
kan O
niet O
worden O
verslagen!!! O

Je O
kunt O
hier O
niet O
fout O
gaan. O

Elke O
keer O
in O
New O
York O
maak O
ik O
er O
een O
punt O
van O
om O
Restaurant B-TARGET
Saul I-TARGET
op O
Smith O
Street O
te O
bezoeken. O

Alles O
wordt O
altijd O
tot O
in O
de O
perfectie O
gekookt, O
de O
service B-TARGET
is O
uitstekend, O
het O
decor B-TARGET
koel O
en O
ingetogen. O

Ik O
had O
de O
eendenborst B-TARGET
speciaal I-TARGET
op O
mijn O
laatste O
bezoek O
en O
het O
was O
ongelooflijk. O

Ik O
kan O
niet O
wachten O
op O
mijn O
volgende O
bezoek. O

Ik O
had O
mijn O
ogen O
op O
deze O
plek O
gericht, O
beloofde O
mezelf O
dat O
ik O
het O
op O
een O
dag O
zou O
proberen. O

En O
ik O
haat O
het O
om O
dit O
te O
zeggen, O
maar O
ik O
betwijfel O
of O
ik O
ooit O
terug O
zal O
gaan. O

Het O
eten B-TARGET
is O
heel O
gemiddeld... O
de O
Thaise B-TARGET
fusie I-TARGET
spul I-TARGET
is O
een O
beetje O
te O
zoet, O
alles O
wat O
ze O
serveren O
is O
hier O
te O
zoet. O

Het O
enige O
wat O
ik O
matig O
genoot O
was O
hun O
Grilled B-TARGET
Chicken I-TARGET
special I-TARGET
met I-TARGET
Edamame I-TARGET
Puree. I-TARGET

Ik O
had O
Edamame B-TARGET
nog O
nooit O
eerder O
laten O
zuiveren O
maar O
ik O
dacht O
dat O
het O
innovatief O
en O
lekker O
was O
(ik O
had O
wat O
meer O
zout O
kunnen O
gebruiken). O

Hoe O
dan O
ook, O
als O
je O
in O
de O
buurt O
bent O
om O
goed O
eten O
te O
eten, O
zou O
ik O
mijn O
tijd O
niet O
verspillen O
om O
iets O
te O
vinden, O
liever O
naar O
Tamari O
gaan. O

Het O
decor B-TARGET
is O
nacht O
tho... O
maar O
ze O
echt O
nodig O
om O
die O
ventilatie B-TARGET
in O
het O
plafond O
schoon O
te O
maken... O
het O
is O
vrij O
onaangenaam, O
en O
doodt O
uw O
poging O
om O
deze O
plek B-TARGET
slank O
en O
modern O
te O
laten O
lijken. O

We O
hebben O
buiten O
gegeten O
in O
Haru's O
Sake O
bar O
omdat O
Haru's O
restaurant O
hiernaast O
overstroomde. O

Wat O
is O
het O
verschil O
tussen O
die O
twee? O

Hun O
sake B-TARGET
lijst I-TARGET
was O
uitgebreid, O
maar O
we O
waren O
op O
zoek O
naar O
Purple O
Haze, O
die O
niet O
op O
de O
lijst O
stond O
maar O
